coord,row_letter,step_number,persona_id,persona_name,sector,monolith_platform,physical_asset,action_name,status,capital_at_risk_cr,impact_display,speed_display,vulnerability,agentic_plug,agent_registry_id,agent_registry_uri,agent_deployment_status,agent_iam_identity,agent_framework
E11,E,11,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Lost Circulation Material (LCM) Pill Design,critical,55,₹55 Cr / yr,5s vs 4 Hrs,Vague particle size distribution pill fails to seal fractured vugular zone.,Ideal Packing Theory particle size optimization agent matching fracture aperture.,,,,,
E12,E,12,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Cement Spacer Rheological Hierarchy Check,friction,22,₹22 Cr / yr,3s vs 2 Hrs,Spacer viscosity lower than drilling mud; mud channeling leads to wet shoe.,Rheological hierarchy validator verifying yield stress rule.,,,,,
E13,E,13,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Hydrogen Sulfide (H2S) Scavenger Consumption,critical,85,₹85 Cr / yr,1s vs Lab Shift,Sour gas zone exhausts scavenger reserves; deadly gas reaches shaker deck.,Reaction kinetics mass-balance sentinel tracking H2S scavenger consumption rate.,,,,,
E14,E,14,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Plastic Viscosity and Yield Point Ingestion,baseline,10,₹10 Cr / yr,2s vs 1 Hr,Fann 35 viscometer 6-speed dial readings manually typed into morning spreadsheet.,Automated viscometer telemetry ingestor calculating true PV, YP and gel strengths.,,,,,
E15,E,15,p05,Drilling Fluids & Mud Chemist,DRILLING & WELLS,M-I SWACO Virtual Mud / DFG,Active Mud Circulating Shakers & Mud Pit Room,Synthetic Base Oil Environmental Toxicity QC,baseline,14,₹14 Cr / yr,3s vs 2 Hrs,Drill cuttings retention on cuttings exceeds offshore discharge regulations.,Cuttings dryer mass balance agent certifying ROC compliance.,,,,,
F1,F,1,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Real-Time Geosteering Boundary Detection,critical,90,₹90 Cr / yr,2s vs 45 Mins,High-side gamma boundary clipped; horizontal well exits sweetspot into shale.,Deep azimuthal resistivity boundary inversion agent steering bit in top 1m of pay.,geosteering_boundary_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/geosteering_boundary_sentinel,Planned Wave 1,geosteering-agent@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + Inversion Physics
F2,F,2,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Mud Pulse Telemetry Signal Demodulation,friction,25,₹25 Cr / yr,0.2s vs 45 Mins,Mud pump noise corrupts downhole pulses; driller flies blind for 45 mins.,Adaptive noise cancellation filter extracting faint pressure pulses through pump noise.,,,,,
F3,F,3,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Motor Slide vs Rotary Dogleg Severity (DLS),baseline,16,₹16 Cr / yr,1s vs 30 Mins,Toolface roll causes high dogleg; creates casing wear groove and keyseat.,Slide sheet execution tracker calculating actual motor yield and projection to bit.,,,,,
F4,F,4,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Geomagnetic Multi-Station Analysis (MSA),critical,55,₹55 Cr / yr,3s vs 2 Hrs,Drillstring magnetic interference biases azimuth; well wanders 30m off target.,Multi-station geomagnetic validation agent correcting for magnetic bias.,,,,,
F5,F,5,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Downhole Stick-Slip Torsional Vibration,critical,70,₹70 Cr / yr,0.1s vs Catastrophe,Extreme RPM fluctuations snap drillpipe collar; ₹15 Cr fishing job required.,High-frequency torsional vibration sentinel recommending surface decoupling.,,,,,
F6,F,6,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Continuous Inclination & Azimuth Tracking,baseline,18,₹18 Cr / yr,1s vs 30 Mins,Survey taken only on connections; misses severe dogleg during stand drill.,Continuous inclination/azimuth Kalman filter tracking true well path.,,,,,
F7,F,7,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Rotary Steerable System (RSS) Pad Force QC,baseline,20,₹20 Cr / yr,2s vs 1 Hr,Hydraulic push pads foul with solids; steering response drops 50%.,RSS pad pressure telemetry validator warning of actuator degradation.,,,,,
F8,F,8,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,LWD Density-Neutron Stand-Off Correction,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Rugose wellbore washouts induce severe stand-off; falsifies gas porosity.,Stand-off spine-and-ribs correction agent filtering washed-out density readings.,,,,,
F9,F,9,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Lateral Vibration & Whirl Boundary Monitor,critical,45,₹45 Cr / yr,0.5s vs Tool Death,Backward whirl destroys PDC cutter diamonds in minutes; halts drilling progress.,Shock and vibration spectral analyzer isolating forward vs backward whirl.,,,,,
F10,F,10,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Projection-to-Bit (PTB) Trajectory Calculation,baseline,15,₹15 Cr / yr,1s vs 20 Mins,Survey sensor is 15m behind bit; driller misjudges fault intersection point.,Minimum curvature projection-to-bit extrapolator incorporating bending moments.,,,,,
F11,F,11,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Acoustic Wellbore Caliper from LWD Time,friction,19,₹19 Cr / yr,4s vs 3 Hrs,Manual caliper picking from sonic LWD logs delays cement volume calculation.,Acoustic transit-time radial distance agent calculating exact open-hole volume.,,,,,
F12,F,12,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Magnetic Ranging for Wellbore Interception,baseline,30,₹30 Cr / yr,3s vs 2 Hrs,Relief well tracking blowing-out wellbore misinterprets magnetic gradient.,Active magnetic gradient inversion solver computing true distance/bearing to target.,,,,,
F13,F,13,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,Gamma Ray Azimuthal Bed Dip Calculation,baseline,12,₹12 Cr / yr,2s vs 1 Hr,Up/Down/Left/Right gamma sectors manually phased to calculate structural dip.,Automated sine-fitting sinusoidal image agent computing apparent and true dip.,,,,,
F14,F,14,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,MWD Pulser Battery & Turbine Health,baseline,16,₹16 Cr / yr,2s vs 4 Hrs,Turbine voltage collapse forces unneeded tripping of 4,000m drillstring.,Downhole power telemetry monitor predicting alternator degradation.,,,,,
F15,F,15,p06,Directional Drilling & MWD Lead,DRILLING & WELLS,Compass / Maxwell / Advant,Downhole Rotary Steerable Drillstring & BHA,WITSML Real-Time Rig-to-Shore Data Bridge,friction,22,₹22 Cr / yr,0.1s vs 30 Mins,WITSML schema mismatch between rig and town office causes 30-min blackout.,Sovereign WITSML protocol translation bridge guaranteeing zero data dropout.,,,,,
G1,G,1,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Casing Triaxial Burst & Collapse Stress Model,critical,85,₹85 Cr / yr,4s vs 8 Hrs,Evacuation load during gas kick underestimates collapse; casing shears.,API TR 5C3 triaxial Von Mises stress validator verifying safety factors.,,,,,
G2,G,2,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Annular Pressure Buildup (APB) Thermal Model,critical,95,₹95 Cr / yr,6s vs 1 Day,Trapped fluid in Annulus-A expands under production heat; bursts casing.,Transient thermal-hydraulic APB simulator calculating required burst disks.,,,,,
G3,G,3,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Cement Slurry Placement & Mud Displacement,critical,60,₹60 Cr / yr,8s vs 6 Hrs,Incomplete mud removal leaves mud channel; gas leaks to surface (SCP).,3D eccentric annulus mud displacement fluid dynamics solver.,,,,,
G4,G,4,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Ultrasonic Cement Bond (CBL/VDL) Log Eval,critical,70,₹70 Cr / yr,5s vs 4 Hrs,Micro-annulus mistaken for complete cement bond; shoe passes bad test.,Ultrasonic acoustic impedance cement map analyzer detecting gas seams.,,,,,
G5,G,5,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Production Casing Connection Fatigue,baseline,18,₹18 Cr / yr,2s vs 1 Hr,Premium thread connection dope torque exceeded; galling causes gas leakage.,Make-up torque-turn graph evaluator certifying API connection seal engagement.,,,,,
G6,G,6,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Casing Wear Depth Modeling from Drillstring,friction,24,₹24 Cr / yr,6s vs 5 Hrs,Hardfaced tool joints grind deep groove in dogleg; burst margin halved.,Cumulative casing wear simulator tracking rotating hours and contact side-forces.,,,,,
G7,G,7,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Sustained Casing Pressure (SCP) Bleed-Off,critical,55,₹55 Cr / yr,3s vs 3 Days,Field operator bleeds casing pressure without tracking recharge rate; misses leak.,Diagnostic bleed-off and pressure buildup agent classifying thermal vs true leak.,,,,,
G8,G,8,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Free-Point Indicator & Pipe Back-Off Modeling,baseline,20,₹20 Cr / yr,3s vs 2 Hrs,Stretch calculations for stuck casing miscalculate free-point; wrong joint cut.,Hookload stretch-coefficient solver determining exact depth of stuck casing point.,,,,,
G9,G,9,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Deepwater Wellhead Fatigue from Riser Motion,critical,90,₹90 Cr / yr,10s vs 2 Days,Ocean vortex-induced vibration cycles crack subsea wellhead housing weld.,Dynamic riser-wellhead structural fatigue life accumulator tracking cyclic stresses.,,,,,
G10,G,10,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Casing Corrosion & Wall Metal Loss QC,friction,22,₹22 Cr / yr,8s vs 1 Day,Electromagnetic thickness tool logs evaluated manually pipe by pipe.,Multi-frequency electromagnetic flux leakage analyzer mapping internal/external pits.,,,,,
G11,G,11,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Cement Hydration Exotherm & Thickening Time,baseline,40,₹40 Cr / yr,4s vs 3 Hrs,Slurry sets prematurely inside casing during pump stoppage; ₹40 Cr drillout.,Cement hydration kinetics engine validating thickening time safety margins.,,,,,
G12,G,12,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Hydrostatic Test Pressure & Hold Verification,baseline,15,₹15 Cr / yr,2s vs 1 Hr,Thermal cooling during 15-minute pressure test misinterpreted as mechanical leak.,Temperature-compensated pressure decay validator certifying API casing integrity.,,,,,
G13,G,13,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Tubing Movement & Thermal Buckling (PBR),baseline,18,₹18 Cr / yr,3s vs 2 Hrs,Piston, helical buckling, and ballooning forces unseat polished bore receptacle.,Lubinski tubing stress solver calculating net packer seal bore travel and loads.,,,,,
G14,G,14,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Expandable Liner Hanger Expansion Pressure,baseline,20,₹20 Cr / yr,2s vs 1 Hr,Expansion dart pressure profile irregular; liner slips downhole during cementing.,Liner hanger hydraulic expansion telemetry inspector confirming metal-to-metal seal.,,,,,
G15,G,15,p07,Well Integrity & Casing Design Engineer,DRILLING & WELLS,StressCheck / CasingSeat / iCem,Production Wellhead Christmas Tree & Surface Choke,Plug & Abandonment Environmental Barrier Audit,baseline,16,₹16 Cr / yr,4s vs 2 Days,Cross-sectional rock-to-rock cement barrier placement verification missed.,DGMS/OISD regulatory barrier ledger certifying dual mechanical & cement plugs.,,,,,
H1,H,1,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Multi-Well History Matching Parameter Tuning,friction,35,₹35 Cr / yr,45s vs 6 Mos,6 months spent manually tweaking relative perm endpoints to match watercut.,Ensemble Kalman Filter automated history matching agent matching 50 wells in hours.,,,,,
H2,H,2,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Equation-of-State (EOS) PVT Phase Match,baseline,18,₹18 Cr / yr,6s vs 1 Day,Peng-Robinson cubic EOS constants adjusted manually; mispredicts dewpoint.,Regression-based PVT solver tuning volume-shift and binary interaction coefficients.,,,,,
H3,H,3,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Material Balance Compartment Tank Modeling,baseline,16,₹16 Cr / yr,4s vs 3 Hrs,Aquifer influx strength and gas in place uncoupled from pressure drops.,Havlena-Odeh material balance solver identifying reservoir compartment boundaries.,,,,,
H4,H,4,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Capillary Pressure End-Point Scaling (Swc),baseline,14,₹14 Cr / yr,3s vs 2 Hrs,J-function upscaling introduces artificial water movement across low-perm blocks.,Leverett J-function saturation height function scaler generating clean tables.,,,,,
H5,H,5,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Production Forecasting P10/P50/P90 Profiles,baseline,22,₹22 Cr / yr,25s vs 4 Wks,Manual deck runs across reservoir realizations take 4 weeks; delayed asset budget.,Cloud-distributed simulation orchestrator generating certified probabilistic EUR.,,,,,
H6,H,6,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Waterflood Sweep & Coning Breakthrough Guard,critical,65,₹65 Cr / yr,8s vs 2 Days,Rapid producer water breakthrough due to high mobility ratio; 40% bypassed oil.,Fractional flow Buckley-Leverett frontline tracer calculating optimal injection.,,,,,
H7,H,7,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Infill Well Location Optimization Algorithm,friction,30,₹30 Cr / yr,35s vs 1 Wk,Engineers guess coordinate locations for next 10 infill wells; miss sweetspots.,Particle swarm optimization agent maximizing NPV across drain regions.,,,,,
H8,H,8,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Bottom-Hole Flowing Pressure History Match,critical,45,₹45 Cr / yr,5s vs 1 Day,Well model uses gauge pressure without fluid gradient correction; false water influx.,Dynamic downhole hydrostatic gradient compensator matching true datum pressures.,,,,,
H9,H,9,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Polymer / Chemical EOR Viscosity Degradation,baseline,15,₹15 Cr / yr,6s vs 4 Hrs,Polymer shear thinning parameters uncalibrated to core-flood tests.,Carreau-Yasuda non-Newtonian polymer viscosity simulator tracking degradation.,,,,,
H10,H,10,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Pressure Transient Well Test Derivative Match,friction,20,₹20 Cr / yr,7s vs 5 Hrs,Bourdet pressure derivative diagnostic curves picked by eye; misses boundary.,Non-linear regression pressure derivative solver identifying dual-porosity.,,,,,
H11,H,11,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Non-Darcy Gas Forchheimer Flow Factor,baseline,16,₹16 Cr / yr,4s vs 2 Hrs,High-velocity turbulence near wellbore omitted; overestimates deep gas deliverability.,Forchheimer beta turbulence factor solver adjusting near-wellbore skin.,,,,,
H12,H,12,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Grid Block Pinchout & Transmissibility Multiplier,baseline,14,₹14 Cr / yr,3s vs 2 Hrs,Low-throw faults entered without fault multipliers; dry zone predicted.,Transmissibility multiplier generator computing membrane fault permeability.,,,,,
H13,H,13,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Gas Cap Blowout & Gas-Oil Ratio Runaway,critical,75,₹75 Cr / yr,6s vs 1 Day,Gas cap expansion cones into perforations; reservoir pressure collapses prematurely.,Critical rate coning solver calculating Chierici-Crichlow maximum oil production rate.,,,,,
H14,H,14,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),CO2 Sequestration & Trapping Model,baseline,12,₹12 Cr / yr,8s vs 4 Hrs,Supercritical CO2 solubility in formation brine omitted; underestimates storage.,Extended Peng-Robinson geochemical solubility model computing mineral trapping.,,,,,
H15,H,15,p08,Reservoir Simulation Engineer,RESERVOIR & PRODUCTION,Eclipse / CMG / tNavigator,Deep Downhole Electrical Submersible Pump (ESP),Dynamic Simulation Keyword Deck QC,friction,18,₹18 Cr / yr,2s vs 12 Hrs,Syntax error in .DATA file crashes 12-hour simulation job at 95% completion.,Pre-flight Eclipse deck syntax validator checking grid-table compatibility.,,,,,
I1,I,1,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Nodal Analysis Choke Bean Size Optimization,friction,25,₹25 Cr / yr,2s vs 90 Mins,90-minute nodal analysis delay; choke set too open, inducing sand influx.,Real-time IPR-VLP nodal calculation engine adjusting choke bean sizes automatically.,,,,,
I2,I,2,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Electrical Submersible Pump (ESP) Gas-Lock Guard,critical,80,₹80 Cr / yr,0.2s vs Motor Burn,GOR spike causes gas bubble cavitation in pump stages; burns out ₹3 Cr ESP motor.,High-frequency motor current & intake pressure sentinel calculating downhole gas fraction.,esp_gas_lock_sentinel,projects/og-enterprise-prod/locations/us-central1/agents/esp_gas_lock_sentinel,Planned Wave 1,esp-guard@og-enterprise-prod.iam.gserviceaccount.com,Google ADK + High-Frequency Telemetry
I3,I,3,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Continuous Gas Lift Injection Rate Optimization,friction,30,₹30 Cr / yr,5s vs 1 Day,Gas lift gas distributed evenly across wells; starves high-productivity producers.,Equal-marginal production gas-lift allocator maximizing total field oil production.,,,,,
I4,I,4,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Critical Gas Velocity Liquid Loading (vcr),critical,65,₹65 Cr / yr,1s vs Dead Well,Gas well drops below Turner droplet velocity; well loads with water and dies completely.,Real-time Turner/Coleman liquid loading monitor triggering velocity string unloading.,,,,,
I5,I,5,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Production Allocation Meter Factor Reconciliation,friction,22,₹22 Cr / yr,4s vs 3 Days,Multi-phase flow meter calibration drift causes allocation disputes between blocks.,Mass-balanced multi-phase allocation agent reconciling well test data vs tank dips.,,,,,
I6,I,6,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Wax & Asphaltene Deposition Cloud Point Guard,critical,70,₹70 Cr / yr,3s vs 6 Hrs,Wellhead temperature drops below wax appearance temp; flowline plugs solid.,Thermodynamic wax precipitation simulator adjusting chemical pour-point depressants.,,,,,
I7,I,7,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Sucker Rod Pumping Dynacard Pattern Diagnostics,baseline,18,₹18 Cr / yr,1s vs 2 Hrs,Fluid pound and gas interference dynacards classified manually from paper printouts.,Computer-vision surface & downhole pump dynacard classifier detecting pump tag.,,,,,
I8,I,8,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Inflow Performance Relationship (Vogel/Darcy),baseline,15,₹15 Cr / yr,2s vs 1 Hr,Multi-rate well test points fitted with linear model below bubble point; pay missed.,Vogel & composite IPR solver calculating true maximum theoretical potential (AOF).,,,,,
I9,I,9,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Sand Production Acoustic Rate Threshold,critical,85,₹85 Cr / yr,0.5s vs Manifold Rupture,Ultrasonic sand detectors alarm ignored; sand cut erodes choke manifold, causing blowout.,Real-time erosion velocity sentinel limiting drawdown to critical sand-free rate.,,,,,
I10,I,10,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Progressive Cavity Pump (PCP) Elastomer Swell,baseline,16,₹16 Cr / yr,3s vs 2 Hrs,High aromatics in heavy crude swells stator elastomer; pump seizures in heavy oil.,Elastomer-fluid chemical compatibility model tracking rotor torque and temperature rise.,,,,,
I11,I,11,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Subsurface Safety Valve (SSSV) Leak-Rate Test,baseline,14,₹14 Cr / yr,2s vs 1 Day,Pressure buildup behind closed SSSV manually verified every 6 months for OISD.,Automated SSSV leak-rate calculation engine certifying zero-leak isolation to DGMS ledger.,,,,,
I12,I,12,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Emulsion Viscosity Inversion & Water Cut Spike,friction,20,₹20 Cr / yr,3s vs 4 Hrs,Tight water-in-oil emulsion creates 10x pressure drop; field backpressure spikes.,Inversion point emulsion rheology model adjusting demulsifier surfactant dosing rates.,,,,,
I13,I,13,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Wellhead Christmas Tree Valve Greasing & Stroke,baseline,12,₹12 Cr / yr,2s vs Manual Board,Master and wing gate valve stroke counts and torque thresholds tracked on whiteboards.,Automated valve cycle counter & actuator torque trend monitor warning of gate seizure.,,,,,
I14,I,14,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Multi-Well Network Backpressure Interaction,friction,28,₹28 Cr / yr,8s vs 6 Hrs,Bringing Well A-14 online increases manifold pressure, shutting in marginal Wells.,Global network flow simulator balancing backpressures across manifold loops.,,,,,
I15,I,15,p09,Production & Artificial Lift Technologist,RESERVOIR & PRODUCTION,Prosper / GAP / PIPESIM,High-Pressure Gathering Manifold & Loop Lines,Virtual Flow Metering (VFM) Fallback Estimation,baseline,19,₹19 Cr / yr,1s vs 3 Wks,Hardware MPFM meter fails; well flows unmonitored for weeks without production data.,Physics-based VFM estimator calculating oil/gas/water rates from choke and wellhead PT.,,,,,
J1,J,1,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Pickett Plot Archie Rw Calculation,baseline,14,₹14 Cr / yr,2s vs 1 Hr,Eyeballing formation water resistivity line across variable salinities.,Deterministic iterative Archie solver with automated temperature normalization.,,,,,
J2,J,2,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Spectral Gamma Ray Clay Volume (Vsh),friction,20,₹20 Cr / yr,3s vs 2 Hrs,Thorium/Potassium deconvolution done manually; clay swelling risk misjudged.,Spectral GR deconvolution agent isolating illite/smectite swelling clay fractions.,,,,,
J3,J,3,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Core-to-Log Porosity Depth Calibration,friction,22,₹22 Cr / yr,4s vs 4 Hrs,Routine core analysis plugs shifted by eye to match density-neutron logs.,Non-linear depth-warping agent maximizing cross-correlation with lab core plugs.,,,,,
J4,J,4,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Dual-Water & Waxman-Smits Shaly Sand Eval,baseline,16,₹16 Cr / yr,3s vs 1 Hr,Cation exchange capacity approximations causing overestimation of water cut.,Deterministic shaly-sand solver running bound-water saturation models.,,,,,
J5,J,5,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Shear-Sonic (Vs) Waveform Dispersion QC,critical,50,₹50 Cr / yr,5s vs 1 Day,Mud filtrate invasion masks true shear arrival; rock mechanics model distorted.,Automated acoustic waveform dispersion filter with dipole shear arrival extraction.,,,,,
J6,J,6,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Formation Micro-Scanner (FMI) Image Dip QC,friction,26,₹26 Cr / yr,12s vs 2 Days,Manual picking of sinusoidal fracture dips takes 2 days; misses micro-faults.,Computer-vision fracture extraction agent calculating true stratigraphic dip/azimuth.,,,,,
J7,J,7,p10,Lead Petrophysicist,SUBSURFACE GEOSCIENCES,Techlog / IP / Geolog,Offshore Production Separation Platform,Capillary Pressure (J-Function) Saturation,baseline,15,₹15 Cr / yr,3s vs 2 Hrs,Leverett J-function normalization curves calculated in disconnected spreadsheets.,Centrally governed capillary pressure curve normalizer linked directly to reservoir grid.,,,,,
